initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch1.1,branch2.0,branch2.1,branch3.0,branch3.1,train accuracy epoch0,test accuracy epoch0,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,269.09995,269.1,139.88521,139.88525,177.30487,177.30489,92.57333333333334,95.33,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,398.74030855194144,398.74031171806115,243.63879753523744,243.63878752827833,297.24218762450795,297.24220100626803,92.57333333333334,95.33,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,415.7272,415.7272,165.7768,165.7768,309.42392,309.42392,92.36666666666666,96.44,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,405.2729153989844,405.2729311170505,220.07930161684612,220.07930632352435,373.2203601246001,373.2203662126787,92.36666666666666,96.44,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,221.4656,221.46559,159.01593,159.01593,492.33685,492.33685,92.29,95.86,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,257.0509724817869,257.05096494905683,220.64044447857614,220.6404510030551,488.3899331956464,488.38992612715,92.29,95.86,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,381.4433,381.44324,429.08813,429.08807,90.99311,90.9931,92.23833333333333,95.99,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,407.5726084706761,407.57260856521793,506.24081188056874,506.24082418613864,129.54956560033443,129.54956767245196,92.23833333333333,95.99,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,343.0616,343.06168,309.41797,309.41815,299.4951,299.49503,92.135,96.55,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,447.66800322473614,447.66801266835955,418.48301875100293,418.48304142478435,368.99232991190695,368.99231743482306,92.135,96.55,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,257.32193,257.32187,68.3208,68.320786,385.589,385.58908,92.17166666666667,95.88,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,311.1433835865078,311.14337162273654,92.061325070852,92.06132940328496,428.3859088222354,428.38592071127465,92.17166666666667,95.88,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,263.91086,263.9108,284.1807,284.1807,399.9524,399.95242,92.85833333333333,96.58,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,246.36270215849416,246.36268717007496,305.2573995961437,305.2573916094073,406.74451776892425,406.74451124571965,92.85833333333333,96.58,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,432.37823,432.37823,402.87543,402.87543,368.3749,368.37488,92.385,95.91,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,326.77835381671474,326.77834700701845,295.6751465869899,295.6751776877472,323.4591586126715,323.45912650592885,92.385,95.91,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,226.81294,226.81282,182.03813,182.03809,810.91455,810.9145,91.93,95.21,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,169.51779593663287,169.51778651121276,131.46627466511706,131.46626577348297,619.1434400349248,619.1434523678616,91.93,95.21,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,188.49239,188.49237,497.76212,497.7621,220.46498,220.46494,92.495,96.29,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,229.85690279701407,229.8569016685963,519.5236966363098,519.523674010787,259.93617122286685,259.936171870623,92.495,96.29,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,150.41278,150.41283,297.51743,297.51736,442.99893,442.99887,92.41166666666666,95.89,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,161.10692772974318,161.1069276172623,300.9300517900667,300.9300454894526,460.5495227098915,460.5495310566581,92.41166666666666,95.89,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,101.01011,101.0101,243.0555,243.0555,270.18585,270.1859,92.35833333333333,96.19,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,150.54093890247836,150.54093742444206,336.9603400001267,336.96033511967204,360.3316015458077,360.33161141407805,92.35833333333333,96.19,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,377.8831,377.88306,259.35547,259.35544,263.2525,263.25244,91.39166666666667,96.24,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,398.0500502547243,398.05005080743183,283.20108968281875,283.2010883274698,219.325227374814,219.3252194985173,91.39166666666667,96.24,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,281.08508,281.08508,286.8296,286.82962,367.48883,367.4888,92.6,96.15,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,359.1103915730527,359.1103704954728,313.0165243423115,313.0165239007313,383.64672333853747,383.6467076753948,92.6,96.15,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,297.64352,297.64346,231.67528,231.67525,410.32224,410.32227,91.82166666666667,95.95,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,152.45345104211881,152.4534770156338,195.515130823972,195.51512852437793,330.70562886425216,330.705616165102,91.82166666666667,95.95,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,517.13513,517.13513,261.6588,261.65887,350.0084,350.0084,92.78,95.29,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,464.32848184990485,464.32850209997656,258.4621894452072,258.4621846744738,312.11943506923035,312.11944280625835,92.78,95.29,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,1036.879,1036.879,442.00378,442.00366,677.33014,677.3301,92.86833333333334,94.85,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,627.1241138317081,627.1241068419257,297.66650959649104,297.6665118819899,400.2532100399924,400.253221059267,92.86833333333334,94.85,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,263.31494,263.31497,296.1056,296.1056,703.68506,703.6849,92.67666666666666,95.86,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,240.1124219799987,240.1124361973877,238.39704765746197,238.3970514558691,656.9811648421953,656.9811615351234,92.67666666666666,95.86,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,835.31006,835.31006,803.29443,803.2942,166.28523,166.28514,92.92,96.47,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,409.70966994908787,409.70966515321203,461.7630102551775,461.76300673831537,85.35471989513512,85.35471510177936,92.92,96.47,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,709.94165,709.9415,490.14612,490.1462,545.14667,545.14655,92.985,96.06,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,329.58857482869433,329.58857174147295,305.91965710280635,305.91965843048337,245.45885444037023,245.4588495923557,92.985,96.06,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,714.65045,714.6505,218.68423,218.6842,861.96063,861.9606,92.91,95.81,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,386.836337621284,386.83634605206106,133.17239669124456,133.17239756312108,524.1080606355406,524.1080661545062,92.91,95.81,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,641.87726,641.87726,418.51672,418.51672,960.1198,960.1198,92.98666666666666,94.97,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,347.66514131034205,347.6651542157249,248.47724401076297,248.47723364752136,550.1627836096769,550.1627860592956,92.98666666666666,94.97,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,656.37115,656.371,597.55035,597.5504,560.86926,560.8692,92.18666666666667,95.68,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,308.17824435356766,308.17824044219606,292.74166435115706,292.74166202192765,318.9721100685246,318.97212660043056,92.18666666666667,95.68,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,252.25839,252.2584,213.94608,213.94608,1087.239,1087.239,92.42,95.82,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,141.2440891042845,141.24408405696755,95.53398980463005,95.5342610433032,872.4387239097463,872.4387494375011,92.42,95.82,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,373.49182,373.49185,1305.9337,1305.9337,471.86252,471.86246,92.75666666666666,96.06,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,151.91319505272517,151.91319711029402,833.9519794076241,833.9519457036055,224.21417082906086,224.21417647271647,92.75666666666666,96.06,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,330.73303,330.73303,652.95233,652.9523,1021.72375,1021.7236,92.81166666666667,96.27,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,157.66931982372307,157.6693168119741,255.00644237704924,255.0064307420497,556.2953626197486,556.2953492671443,92.81166666666667,96.27,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,383.24194,383.24182,887.6011,887.60126,1097.9061,1097.9061,92.355,95.26,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,121.13480939816873,121.13481651725927,409.2687774339631,409.26878419643305,591.0622383790869,591.0622404957744,92.355,95.26,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,1063.8414,1063.8413,599.37067,599.3706,694.0629,694.0631,92.55,96.27,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,610.8851985482015,610.8852134161717,309.9870176624375,309.98701767922296,299.3127187923281,299.3127250783546,92.55,96.27,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,507.82498,507.82498,573.52454,573.52435,813.5931,813.5932,92.77833333333334,95.85,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,260.1942425660484,260.1942572134067,243.2999465242352,243.29994927279606,371.94689596538365,371.946906297184,92.77833333333334,95.85,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,451.6552,451.65527,302.30847,302.30853,554.2116,554.21155,92.48666666666666,95.78,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,277.5931431264929,277.5931384934883,197.80684681553828,197.8068460261126,349.19339623988463,349.1933952120174,92.48666666666666,95.78,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,648.7666,648.7666,300.0593,300.05936,438.4232,438.4231,92.55,93.23,deeplift,0
