initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,block.0,block.1,train accuracy epoch0,test accuracy epoch0,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,117.54301,117.543015,92.46833333333333,96.01,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,353.9741498558654,353.97416678967556,92.46833333333333,96.01,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,226.09932,226.09933,93.11,96.2,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,677.718717795878,677.7186866801469,93.11,96.2,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,256.3778,256.3778,91.86833333333334,95.59,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,770.0882682427897,770.0882712193467,91.86833333333334,95.59,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,195.60745,195.60739,92.93,96.65,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,588.5564962631984,588.5564722595002,92.93,96.65,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,229.05698,229.05696,92.01333333333334,96.63,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,686.1946552612642,686.1946415498101,92.01333333333334,96.63,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,259.546,259.54608,93.04833333333333,96.46,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,778.0482302302607,778.048239666286,93.04833333333333,96.46,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,45.936943,45.93695,91.09,94.96,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,136.45198874666858,136.45201011420326,91.09,94.96,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,297.20224,297.20227,92.43166666666667,96.14,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,892.4013736901176,892.4013773338048,92.43166666666667,96.14,integrated_gradients,7
