,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1.0,norm_branch2.0,norm_branch3.0,norm_var_norm_branch1.0,norm_var_norm_branch2.0,norm_var_norm_branch3.0,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,branch1.0FLOPS,branch2.0FLOPS,branch3.0FLOPS,totalFLOPS,final_test_accuracy
0,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3458953235258908,0.3540265975975609,0.3000780788765482,0.0483469210963884,0.1084121755955512,0.0851962953658148,0.0806517973525848,93.38355555555556,94.77733333333332,2.515,2.515,2.515,17.182,94.77733333333332
1,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3665058614746188,0.3372492029921272,0.2962449355332539,0.0332665932611548,0.0784310127698026,0.0646332029987043,0.0587769363432206,92.6807777777778,95.22066666666666,2.515,2.515,2.515,17.182,95.22066666666666
2,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3688197279254855,0.3372120639781037,0.2939682080964107,0.024942391446526,0.0598889228848993,0.0571817075429868,0.0473376739581374,91.51177777777778,94.7,2.515,2.515,2.515,17.182,94.7
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3598848503512536,0.3492659422577263,0.29084920739102,0.0473407456942134,0.1026152293910942,0.0756846584667049,0.0752135445173375,93.429,96.33133333333332,2.515,2.515,2.515,17.182,96.33133333333332
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3634538000595042,0.3408460482043691,0.2957001517361267,0.0213763210015242,0.0693460046830422,0.060063069936283,0.0502617985402831,92.96277777777776,96.15933333333332,2.515,2.515,2.515,17.182,96.15933333333332
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3659474957062674,0.3346909400426036,0.2993615642511289,0.0217755893566416,0.0520339702880493,0.0492247595654798,0.0410114397367236,91.983,95.97466666666668,2.515,2.515,2.515,17.182,95.97466666666668
6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3543258688985607,0.3601408249278546,0.2855333061735846,0.0853776606947864,0.127465172860582,0.1139044802693284,0.1089157712748989,92.77622222222224,94.032,2.515,2.515,2.515,17.182,94.032
7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.364168523175835,0.3520123646605408,0.2838191121636242,0.0474381767446944,0.1061937905675446,0.0943314052667556,0.0826544575263315,92.74,94.572,2.515,2.515,2.515,17.182,94.572
8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3565561464385418,0.3511409166243845,0.2923029369370737,0.0381447155378131,0.0760960702032863,0.0697020739449039,0.0613142865620011,92.1862222222222,94.75866666666666,2.515,2.515,2.515,17.182,94.75866666666666
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.35854940668498,0.3384988831947144,0.3029517101203056,0.0820275525671883,0.1582480368264474,0.1435091264670881,0.1279282386202413,92.767,95.686,2.515,2.515,2.515,17.182,95.686
10,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3562551747697818,0.3505870219717635,0.2931578032584546,0.039765740481885,0.0872043395678222,0.0781870143410683,0.0683856981302585,93.04866666666666,95.868,2.515,2.515,2.515,17.182,95.868
11,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3547288398868678,0.3487674429004921,0.29650371721264,0.0328640777633862,0.0670626936180872,0.0673295996270151,0.0557521236694962,92.74155555555556,96.358,2.515,2.515,2.515,17.182,96.358
12,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3603266167895453,0.3510916733286174,0.2885817098818372,0.0978901317344429,0.1583053583217444,0.1621357001766094,0.1394437300775989,92.25222222222222,93.31866666666666,2.515,2.515,2.515,17.182,93.31866666666666
13,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.346887552407733,0.3555118180561794,0.2976006295360874,0.0588898526922083,0.1255884442005385,0.1164473556651348,0.1003085508526272,92.30288888888887,92.462,2.515,2.515,2.515,17.182,92.462
14,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3611143521872871,0.348373797958055,0.2905118498546578,0.0356117318883147,0.0774004582764608,0.0725945761651035,0.0618689221099597,91.87577777777778,94.71533333333332,2.515,2.515,2.515,17.182,94.71533333333332
15,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3819393027175779,0.3235997040356219,0.2944609932468002,0.1026955617335706,0.1622937719498195,0.1661389040535342,0.1437094125789748,92.256,95.526,2.515,2.515,2.515,17.182,95.526
16,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3696044884188488,0.3428876259048046,0.2875078856763466,0.0490461898169603,0.1016144713646778,0.0995145222303054,0.0833917278039812,92.61166666666666,95.34533333333334,2.515,2.515,2.515,17.182,95.34533333333334
17,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3691585297341902,0.3366371384453657,0.294204331820444,0.0340350739027023,0.0695648518293694,0.0691190212259993,0.057572982319357,92.50255555555556,96.03866666666666,2.515,2.515,2.515,17.182,96.03866666666666
