initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1.0,norm_branch2.0,norm_branch3.0,norm_var_norm_branch1.0,norm_var_norm_branch2.0,norm_var_norm_branch3.0,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,branch1.0FLOPS,branch2.0FLOPS,branch3.0FLOPS,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.34589532352589086,0.35402659759756094,0.3000780788765482,0.04834692109638849,0.10841217559555123,0.08519629536581486,0.08065179735258486,93.38355555555556,94.77733333333332,2.515,2.515,2.515,17.182
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3665058614746188,0.33724920299212724,0.29624493553325393,0.03326659326115482,0.07843101276980265,0.06463320299870437,0.058776936343220614,92.68077777777779,95.22066666666666,2.515,2.515,2.515,17.182
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3688197279254855,0.33721206397810377,0.2939682080964107,0.024942391446526047,0.05988892288489938,0.05718170754298682,0.04733767395813742,91.51177777777778,94.7,2.515,2.515,2.515,17.182
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3598848503512536,0.34926594225772634,0.29084920739102,0.04734074569421347,0.10261522939109423,0.07568465846670498,0.07521354451733757,93.429,96.33133333333333,2.515,2.515,2.515,17.182
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3634538000595042,0.34084604820436915,0.2957001517361267,0.021376321001524253,0.06934600468304222,0.06006306993628301,0.05026179854028317,92.96277777777777,96.15933333333332,2.515,2.515,2.515,17.182
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3659474957062674,0.33469094004260364,0.2993615642511289,0.021775589356641624,0.05203397028804937,0.04922475956547982,0.0410114397367236,91.98299999999999,95.97466666666668,2.515,2.515,2.515,17.182
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.35432586889856077,0.3601408249278546,0.2855333061735846,0.08537766069478649,0.127465172860582,0.11390448026932842,0.10891577127489897,92.77622222222223,94.032,2.515,2.515,2.515,17.182
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.36416852317583503,0.3520123646605408,0.28381911216362427,0.04743817674469449,0.1061937905675446,0.09433140526675562,0.08265445752633158,92.74,94.57199999999999,2.515,2.515,2.515,17.182
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3565561464385418,0.35114091662438457,0.2923029369370737,0.038144715537813186,0.0760960702032863,0.06970207394490391,0.061314286562001136,92.18622222222221,94.75866666666666,2.515,2.515,2.515,17.182
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.35854940668498003,0.3384988831947144,0.30295171012030564,0.08202755256718833,0.15824803682644742,0.14350912646708813,0.1279282386202413,92.767,95.68599999999999,2.515,2.515,2.515,17.182
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3562551747697818,0.35058702197176356,0.29315780325845464,0.03976574048188503,0.08720433956782225,0.07818701434106835,0.06838569813025853,93.04866666666666,95.868,2.515,2.515,2.515,17.182
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3547288398868678,0.34876744290049216,0.29650371721264,0.03286407776338621,0.06706269361808725,0.06732959962701518,0.055752123669496216,92.74155555555556,96.358,2.515,2.515,2.515,17.182
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.36032661678954536,0.35109167332861746,0.2885817098818372,0.09789013173444296,0.1583053583217444,0.16213570017660942,0.13944373007759892,92.25222222222222,93.31866666666666,2.515,2.515,2.515,17.182
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.346887552407733,0.35551181805617943,0.29760062953608746,0.058889852692208325,0.1255884442005385,0.11644735566513481,0.1003085508526272,92.30288888888889,92.462,2.515,2.515,2.515,17.182
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.36111435218728716,0.348373797958055,0.29051184985465783,0.03561173188831476,0.07740045827646087,0.0725945761651035,0.06186892210995971,91.87577777777778,94.71533333333333,2.515,2.515,2.515,17.182
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3819393027175779,0.3235997040356219,0.29446099324680025,0.10269556173357065,0.16229377194981953,0.16613890405353424,0.14370941257897482,92.256,95.52600000000001,2.515,2.515,2.515,17.182
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3696044884188488,0.3428876259048046,0.2875078856763466,0.049046189816960385,0.10161447136467786,0.09951452223030548,0.08339172780398124,92.61166666666666,95.34533333333334,2.515,2.515,2.515,17.182
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3691585297341902,0.33663713844536575,0.29420433182044403,0.03403507390270234,0.06956485182936942,0.06911902122599933,0.057572982319357036,92.50255555555556,96.03866666666666,2.515,2.515,2.515,17.182
