,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1.0,norm_branch2.0,norm_branch3.0,norm_var_norm_branch1.0,norm_var_norm_branch2.0,norm_var_norm_branch3.0,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,branch1.0FLOPS,branch2.0FLOPS,branch3.0FLOPS,totalFLOPS,final_test_accuracy
0,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3378503394210994,0.2775287541071541,0.3846209064717464,0.0598123319587059,0.0486195298837247,0.0619129289631708,0.0567815969352005,93.05988888888888,94.46,0.9093,0.9093,0.9093,12.365,94.46
1,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.330533309991533,0.2834503288512607,0.3860163611572062,0.047293282153011,0.039084067246325,0.0490962623925098,0.0451578705972819,91.99766666666666,94.742,0.9093,0.9093,0.9093,12.365,94.742
2,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3344300544024527,0.2957586374120879,0.3698113081854593,0.034877037839277,0.0316423424922833,0.0388253661293704,0.0351149154869769,90.746,94.46066666666668,0.9093,0.9093,0.9093,12.365,94.46066666666668
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3336777977941198,0.2850286443655055,0.3812935578403746,0.0570308112885247,0.0544214661921943,0.0631185767388129,0.058190284739844,92.9742222222222,96.04666666666668,0.9093,0.9093,0.9093,12.365,96.04666666666668
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3336607163216885,0.2916146805536311,0.3747246031246803,0.0416139433947965,0.0418660813651672,0.0453817729881202,0.0429539325826946,92.14588888888888,95.81533333333331,0.9093,0.9093,0.9093,12.365,95.81533333333331
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3335645939053601,0.2970745357824688,0.369360870312171,0.0301883025702849,0.0264890144738292,0.0324853743731044,0.0297208971390728,90.88633333333334,95.49,0.9093,0.9093,0.9093,12.365,95.49
6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3228766325434478,0.2653982570407247,0.4117251104158275,0.1005193414960839,0.1061310564514804,0.1185419686227144,0.1083974555234262,92.89711111111112,93.51133333333334,0.9093,0.9093,0.9093,12.365,93.51133333333334
7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3437951487615614,0.2709956951590876,0.3852091560793509,0.0766483080651572,0.0817404350087239,0.0882614354483736,0.0822167261740849,92.30088888888888,94.04333333333334,0.9093,0.9093,0.9093,12.365,94.04333333333334
8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3239393162126627,0.2963053118442088,0.3797553719431284,0.0412743481007227,0.0512914346573412,0.052991663890188,0.0485191488827506,91.49477777777776,94.178,0.9093,0.9093,0.9093,12.365,94.178
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.312063095992001,0.2738506018691602,0.4140863021388387,0.0944121087218049,0.1218926214727327,0.1386210577934238,0.1183085959959871,92.888,95.31466666666668,0.9093,0.9093,0.9093,12.365,95.31466666666668
