,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1.0,norm_branch2.0,norm_branch3.0,norm_var_norm_branch1.0,norm_var_norm_branch2.0,norm_var_norm_branch3.0,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,branch1.0FLOPS,branch2.0FLOPS,branch3.0FLOPS,totalFLOPS,final_test_accuracy
0,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3398879468803523,0.2842210803834707,0.375890972736177,0.0434632561306306,0.0361247408205488,0.0470480413565888,0.0422120127692561,93.05988888888888,94.46,0.9093,0.9093,0.9093,12.365,94.46
1,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3327494270995164,0.2849030471393055,0.3823475257611781,0.0420440204504546,0.037265299482934,0.0445987177467077,0.0413026792266988,91.99766666666666,94.742,0.9093,0.9093,0.9093,12.365,94.742
2,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3345757642494059,0.2879774686696562,0.377446767080938,0.0382380927998491,0.0344065249924196,0.0400409833940178,0.0375618670620955,90.746,94.46066666666668,0.9093,0.9093,0.9093,12.365,94.46066666666668
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3343383519645705,0.2895527319614573,0.376108916073972,0.0431658664121436,0.0435289235200475,0.0504761580705945,0.0457236493342619,92.9742222222222,96.04666666666668,0.9093,0.9093,0.9093,12.365,96.04666666666668
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3389313895291019,0.2849818244312404,0.3760867860396576,0.0384657304314586,0.0423671247274014,0.0452856845978386,0.0420395132522328,92.14588888888888,95.81533333333331,0.9093,0.9093,0.9093,12.365,95.81533333333331
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3325957079766321,0.2866995195982553,0.3807047724251126,0.0398526085926901,0.035355305817363,0.042869466636807,0.03935912701562,90.88633333333334,95.49,0.9093,0.9093,0.9093,12.365,95.49
6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3223080284842011,0.2835436367582788,0.39414833475752,0.057672428602446,0.0446050705188701,0.0634840629045736,0.0552538540086299,92.89711111111112,93.51133333333334,0.9093,0.9093,0.9093,12.365,93.51133333333334
7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3371187825728527,0.2770556975754517,0.3858255198516955,0.0535218609308237,0.0477072916030073,0.0588717914532652,0.0533669813290321,92.30088888888888,94.04333333333334,0.9093,0.9093,0.9093,12.365,94.04333333333334
8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3272257131708609,0.2904693144711732,0.3823049723579659,0.0468287848011124,0.0498221940664648,0.0522029435985068,0.0496179741553613,91.49477777777776,94.178,0.9093,0.9093,0.9093,12.365,94.178
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3295769285158159,0.2813384101928689,0.3890846612913152,0.0515900261370647,0.0605660325087666,0.0804300358142659,0.0641953648200324,92.888,95.31466666666668,0.9093,0.9093,0.9093,12.365,95.31466666666668
