initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch2.0,branch3.0,train accuracy epoch0,test accuracy epoch0,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,157.02527,162.25171,146.52983,84.66166666666666,88.09,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,173.8985993695548,182.2943392057312,163.42076526562423,84.66166666666666,88.09,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,164.20079,189.58244,148.97276,85.255,86.96,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,172.4409267646976,199.26450537612422,155.87178038374165,85.255,86.96,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,184.67076,126.53532,169.29736,85.1,87.73,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,187.76894793020918,128.7987429896893,172.4004432553171,85.1,87.73,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,149.55032,144.84973,145.67265,85.395,88.14,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,159.49234880333475,152.09122954078495,152.8995460348706,85.395,88.14,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,180.08275,161.91515,127.486305,84.59,87.63,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,187.9361663522341,170.39131359214556,129.27648598192718,84.59,87.63,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,148.72922,194.73756,189.27448,85.04333333333334,87.5,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,158.10046770450148,214.14385848302334,204.50786494540299,85.04333333333334,87.5,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,140.40417,132.4096,207.62747,84.92,87.6,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,168.0098790152528,160.74974885840834,242.42681870749757,84.92,87.6,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,156.24846,158.32391,187.28377,85.17333333333333,87.0,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,167.47612253461338,166.06638526279204,195.3436028674948,85.17333333333333,87.0,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,195.39072,151.69943,152.67319,84.36833333333334,87.82,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,188.18281366225074,154.96243765002083,148.04273676007287,84.36833333333334,87.82,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,181.99767,176.44456,124.553444,85.31666666666666,87.68,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,202.80721959672246,193.51978262005582,142.77176457719742,85.31666666666666,87.68,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,166.67886,135.74191,170.06387,85.02666666666667,87.68,deeplift,10
