initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch2.0,branch3.0,train accuracy epoch0,test accuracy epoch0,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,149.04909,184.48431,234.8575,85.69166666666666,87.71,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,149.95354628853312,185.90214119371365,236.50848735458374,85.69166666666666,87.71,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,145.1942,156.1076,134.06738,85.92833333333333,88.23,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,145.09443866284232,157.54125099952807,135.12283349105147,85.92833333333333,88.23,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,134.08488,178.1438,152.37015,85.35666666666667,87.22,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,141.65216478813116,188.29956445441914,162.6271937141906,85.35666666666667,87.22,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,186.72505,64.663155,194.10915,85.75166666666667,88.35,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,191.92753714269674,65.25171508927434,199.1967368592074,85.75166666666667,88.35,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,147.69086,182.18185,181.7097,85.625,88.37,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,154.17717939416232,188.73797074643772,191.34975535210344,85.625,88.37,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,201.65747,103.698944,135.38333,85.93333333333334,87.86,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,206.16932585702534,105.87197994602555,137.2405774840294,85.93333333333334,87.86,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,119.39576,184.40784,120.95985,85.51833333333333,87.61,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,121.04505145142315,186.84250124354796,124.05301850211588,85.51833333333333,87.61,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,133.41061,186.92274,135.76091,85.55666666666667,88.5,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,136.2934533389339,190.21970309946656,140.15746491189702,85.55666666666667,88.5,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,151.04112,223.65308,117.78828,85.505,88.44,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,157.49139338509622,235.54031573009937,122.67521133806403,85.505,88.44,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,128.79643,191.5753,148.89597,85.75833333333334,88.32,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,132.6428098339915,200.85668783736384,153.80870928348162,85.75833333333334,88.32,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,158.83049,221.32286,163.4772,85.875,88.22,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,164.10315266539288,228.137121275136,166.86251853256522,85.875,88.22,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,136.08162,140.06424,149.41003,85.47166666666666,87.09,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,138.42023937729044,142.42962314928374,151.36061379095761,85.47166666666666,87.09,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,192.92303,125.33537,155.3761,85.58166666666666,87.8,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,195.40911835307008,126.20875687650349,159.307134808644,85.58166666666666,87.8,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,140.52148,148.66994,165.63548,85.73333333333333,88.43,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,145.19725298239265,153.04843920992226,171.45465066686774,85.73333333333333,88.43,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,159.21275,152.57574,171.23145,85.48,87.71,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,168.52749434326614,163.44938729846768,183.0993523832892,85.48,87.71,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,119.58782,179.15244,236.1592,86.175,88.27,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,120.32038205161734,180.50221891476528,238.9116458977495,86.175,88.27,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,160.00677,165.51418,141.71527,85.875,88.13,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,160.70359006159998,167.04259582969254,142.85252034525138,85.875,88.13,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,139.55598,206.72218,116.26709,85.93833333333333,88.35,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,139.94369157004735,207.69320180172465,118.4181936415125,85.93833333333333,88.35,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,206.85432,56.97949,191.09456,85.97666666666667,88.76,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,208.86115706698462,57.883499355093605,194.17501839752688,85.97666666666667,88.76,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,114.75709,173.06233,153.99017,86.19,88.86,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,115.93098138655522,173.8210761552737,156.69552452506997,86.19,88.86,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,216.73492,95.951935,125.73885,86.05,88.7,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,217.9555755844299,96.1915107495105,129.51645311951444,86.05,88.7,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,153.79968,192.53267,139.99655,86.08,88.11,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,154.96807161269822,195.02637388514233,140.60560402587643,86.08,88.11,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,156.68114,209.49838,177.90918,85.98333333333333,88.03,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,157.89399103793417,212.51976073594597,179.96408011022345,85.98333333333333,88.03,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,128.85696,197.06898,117.14937,85.85666666666667,88.72,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,130.75891219439845,201.76876488399327,118.17598877448447,85.85666666666667,88.72,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,141.79909,176.4256,144.24506,86.23166666666667,88.64,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,142.0981910024327,179.77012768805244,146.11197840227132,86.23166666666667,88.64,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,151.57835,214.28128,131.41537,86.37166666666667,87.95,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,154.81706878139912,217.4345316226435,131.9425472510751,86.37166666666667,87.95,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,136.2497,151.94975,157.5204,85.72,87.51,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,137.23563123283833,152.06638847922596,157.6214347592157,85.72,87.51,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,203.3574,109.806175,161.89471,86.18,87.64,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,202.3917704977371,109.16758107332286,164.51088403950817,86.18,87.64,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,152.63084,163.03535,166.50603,86.11166666666666,88.99,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,152.83188930860103,164.1265203204639,167.79002684464467,86.11166666666666,88.99,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,151.62091,158.1909,151.93005,85.535,87.69,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,152.47139178175033,159.05029196903502,153.45917052255317,85.535,87.69,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,108.82583,161.09703,250.76901,86.355,88.63,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,108.82137697041398,161.54989621817143,255.38871248668616,86.355,88.63,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,144.68222,136.1713,157.27449,86.19666666666667,88.24,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,145.96241779714418,137.22032855624548,158.9356475197366,86.19666666666667,88.24,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,160.75021,233.24187,111.78551,86.13166666666666,88.68,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,161.4689070121825,234.18870330007533,112.81899284342339,86.13166666666666,88.68,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,208.14113,36.945095,207.30916,86.11833333333334,88.51,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,207.1935287363067,34.43107165425334,206.921270744535,86.11833333333334,88.51,integrated_gradients,3
