initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1.0,norm_branch2.0,norm_branch3.0,norm_var_norm_branch1.0,norm_var_norm_branch2.0,norm_var_norm_branch3.0,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,branch1.0FLOPS,branch2.0FLOPS,branch3.0FLOPS,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3465168884413148,0.3157723398283956,0.3377107717302896,0.003472771207130955,0.0042354300882861485,0.005721231385354231,0.004476477560257112,85.57755555555556,88.00933333333334,0.113,0.113,0.113,9.975
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3455537028571757,0.31703618605921385,0.33741011108361046,0.0018079020655569907,0.004654740443313159,0.005257070427274525,0.003906570978714891,85.22733333333333,87.35733333333334,0.113,0.113,0.113,9.975
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3432734363456241,0.3220588081632488,0.33466775549112715,0.002805800623280297,0.005370665151031916,0.005178814182781669,0.00445175998569796,84.48344444444446,86.95599999999999,0.113,0.113,0.113,9.975
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.35037589268433744,0.3126899851344668,0.33693412218119584,0.00425730016705961,0.004514160804128348,0.006918434830251587,0.0052299652671465155,85.60877777777777,87.93933333333332,0.113,0.113,0.113,9.975
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.34720417688389144,0.31807516076204145,0.3347206623540671,0.0019674966082353714,0.004214020114168027,0.00494208505785497,0.003707867260086123,85.18522222222222,87.55066666666667,0.113,0.113,0.113,9.975
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.34515737220536913,0.3210445570742482,0.33379807072038264,0.0019986683134247687,0.0046631627296954475,0.0043323430486604635,0.0036647246972602264,84.58622222222222,86.87066666666666,0.113,0.113,0.113,9.975
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3460943363948583,0.3077556228713989,0.34615004073374284,0.01941536832766782,0.014410857610320967,0.018239740054245834,0.01735532199741154,86.03555555555555,88.44266666666667,0.113,0.113,0.113,9.975
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3436071251832864,0.31464870844891746,0.34174416636779614,0.008026539414429447,0.005607188077053567,0.00862985523114804,0.007421194240877018,85.61666666666666,88.09200000000001,0.113,0.113,0.113,9.975
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3439454744696034,0.3164903696797399,0.33956415585065675,0.0036499846120703248,0.004077089564226199,0.005848647166777683,0.004525240447691402,84.85555555555555,87.32,0.113,0.113,0.113,9.975
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3545907239586276,0.30231183426645264,0.34309744177491974,0.02321232940595041,0.014304251918909688,0.022323592852329398,0.019946724725729833,86.06733333333334,88.24866666666667,0.113,0.113,0.113,9.975
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.35335736838515663,0.311618759547314,0.3350238720675295,0.009344095695039929,0.006132731891338791,0.010210890502954791,0.008562572696444504,85.61066666666667,88.096,0.113,0.113,0.113,9.975
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.34694790266128167,0.31764643225613015,0.3354056650825882,0.00283596389311836,0.0037002914962532773,0.0054472327746126325,0.003994496054661423,84.99466666666667,87.47333333333333,0.113,0.113,0.113,9.975
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3511626032827885,0.30213764688496675,0.3466997498322448,0.028229985356747513,0.021350286347333724,0.02613870936788003,0.02523966035732042,86.06311111111111,88.42466666666668,0.113,0.113,0.113,9.975
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.34114389319613336,0.3109414834153812,0.34791462338848544,0.012667381348405258,0.009141932664655747,0.012437610985617752,0.011415641666226254,85.65322222222223,88.20533333333333,0.113,0.113,0.113,9.975
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.34264758693328307,0.31711798268252867,0.34023443038418827,0.005732168177180312,0.004705833371895371,0.007372053606399957,0.005936685051825214,84.90455555555556,87.27666666666667,0.113,0.113,0.113,9.975
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.35830455185827087,0.2990344045711775,0.34266104357055155,0.04103723349401204,0.02179013960560605,0.03190949645615868,0.03157895651859225,86.08377777777778,88.18533333333333,0.113,0.113,0.113,9.975
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.35007764934304414,0.3052474081938374,0.34467494246311847,0.014898749885268275,0.008741448319765668,0.014458064630023438,0.012699420945019127,85.71688888888889,88.09333333333333,0.113,0.113,0.113,9.975
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3465969535590066,0.3148200281621481,0.33858301827884535,0.004391679222419841,0.004808641537318666,0.006587161344105212,0.005262494034614572,85.05066666666667,87.472,0.113,0.113,0.113,9.975
