,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1.0,norm_branch2.0,norm_branch3.0,norm_var_norm_branch1.0,norm_var_norm_branch2.0,norm_var_norm_branch3.0,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,branch1.0FLOPS,branch2.0FLOPS,branch3.0FLOPS,totalFLOPS,final_test_accuracy
0,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3183916740022304,0.3452678695124833,0.3363404564852861,0.0090725968398553,0.0149178439728836,0.0062958143129526,0.0100954183752305,86.00533333333333,88.078,0.314,0.314,0.314,10.577,88.078
1,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3183073177503575,0.3426521044565795,0.3390405777930629,0.0063254928018082,0.0104693699703824,0.0042463689376324,0.0070137439032743,85.73966666666666,87.74733333333333,0.314,0.314,0.314,10.577,87.74733333333333
2,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3219210714961353,0.3368823408419443,0.3411965876619203,0.0041114884200057,0.0081566776671486,0.0037870919139539,0.0053517526670361,85.10933333333334,87.09933333333333,0.314,0.314,0.314,10.577,87.09933333333333
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3217993521250756,0.3421361264707964,0.3360645214041278,0.0103738366860385,0.0179731105331002,0.006375826319985,0.0115742578463746,85.99588888888889,88.234,0.314,0.314,0.314,10.577,88.234
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3210281390697781,0.3404265370997091,0.3385453238305128,0.0066908477025565,0.0121380267117901,0.0051262752541923,0.007985049889513,85.703,87.99933333333334,0.314,0.314,0.314,10.577,87.99933333333334
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3217055423833186,0.3385165668949915,0.3397778907216899,0.0045342728955652,0.0084818069572707,0.004028971604421,0.0056816838190857,85.23755555555555,87.62066666666666,0.314,0.314,0.314,10.577,87.62066666666666
6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3267225056065101,0.3490458942781035,0.3242316001153864,0.0152351084240156,0.0240660847285656,0.0085890446554852,0.0159634126026888,86.27677777777778,88.41000000000001,0.314,0.314,0.314,10.577,88.41000000000001
7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3220355534364323,0.3445642867696453,0.3334001597939223,0.0112321227908587,0.0161406043271095,0.0058531601897477,0.0110752957692386,86.05666666666666,88.334,0.314,0.314,0.314,10.577,88.334
8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3200987452039318,0.3429356421624032,0.336965612633665,0.0071791902228083,0.0124525856449499,0.0046706263078042,0.0081008007251875,85.45855555555555,87.184,0.314,0.314,0.314,10.577,87.184
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3289583002304617,0.3451141253238858,0.3259275744456525,0.0182018001840642,0.0282859990498558,0.010867697499815,0.019118498911245,86.25611111111111,88.58933333333334,0.314,0.314,0.314,10.577,88.58933333333334
10,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3270898924343009,0.344923238317297,0.3279868692484021,0.0128630993056721,0.0207639242130272,0.0070112393790319,0.0135460876325771,86.03333333333333,88.27666666666667,0.314,0.314,0.314,10.577,88.27666666666667
11,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3224926703897673,0.3423928375839777,0.335114492026255,0.0087650244803501,0.0165467441779086,0.0063359293623734,0.0105492326735441,85.59744444444443,87.984,0.314,0.314,0.314,10.577,87.984
12,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3255606332920117,0.3554483311814856,0.3189910355265025,0.0268381326976086,0.034588237610235,0.0146315967781888,0.0253526556953441,86.2328888888889,88.268,0.314,0.314,0.314,10.577,88.268
13,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3178413095575462,0.3501370493133904,0.3320216411290633,0.0134235247780503,0.0177101289376881,0.0063403900876402,0.0124913479344595,86.05066666666667,88.27533333333334,0.314,0.314,0.314,10.577,88.27533333333334
14,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3216456371983434,0.3415443746855182,0.3368099881161383,0.00879226315334,0.01499974257862,0.0063064162551122,0.0100328073290241,85.52344444444445,87.40533333333333,0.314,0.314,0.314,10.577,87.40533333333333
15,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3319749562420727,0.353860890908745,0.3141641528491823,0.022811356347068,0.0425187506435995,0.0229051497362806,0.0294117522423161,86.19255555555556,88.438,0.314,0.314,0.314,10.577,88.438
16,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3298486317848789,0.34424606126769,0.325905306947431,0.0158648442253733,0.0237152973031736,0.0091196889693292,0.0162332768326254,86.01833333333335,88.28999999999999,0.314,0.314,0.314,10.577,88.28999999999999
17,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3236870559780282,0.3434072641779958,0.332905679843976,0.0105732424300733,0.0198782177355855,0.0074390175114117,0.0126301592256902,85.6511111111111,87.99066666666666,0.314,0.314,0.314,10.577,87.99066666666666
