initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,conv1x1,conv1x1_3x3.0,conv1x1_3x3.1,conv1x1_5x5.0,conv1x1_5x5.1,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,180.7032,876.4448,876.44476,853.68646,853.6864,63.5548048048048,90.11261261261261,93.93018018018019,75.08313539192399,75.9778305621536,81.52810768012668,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,222.2239520266502,937.708275048417,937.7082740449933,893.3634880966107,893.3634907716677,63.5548048048048,90.15765765765765,93.76501501501501,75.08313539192399,79.72288202692003,80.93428345209819,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,269.6479,234.32506,234.32495,1330.1622,1330.1619,57.04204204204204,89.009009009009,93.01426426426427,69.61995249406176,80.52256532066508,83.68171021377673,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,216.4460184416097,205.66279374019535,205.6627947660093,1274.146866797975,1274.146850963528,57.04204204204204,89.009009009009,93.0518018018018,69.61995249406176,80.52256532066508,83.44418052256532,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,215.5514,470.8164,470.8164,1123.958,1123.9581,59.020270270270274,89.81981981981981,92.95045045045045,72.00316706254948,78.66983372921615,78.59065716547902,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,188.64660715112745,419.54761784719847,419.54761393473615,1070.3411301062868,1070.3411400204488,59.020270270270274,89.84609609609609,93.10810810810811,72.00316706254948,79.21615201900238,80.22169437846398,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,220.0702,630.92914,630.92926,1210.6896,1210.6897,63.79504504504504,90.36036036036036,94.36561561561561,73.57086302454474,76.89627870150436,82.69992082343626,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,232.62614785232307,674.2863060772884,674.2862998250276,1206.1701972226329,1206.170205412319,63.7987987987988,90.01501501501501,94.32057057057057,73.3729216152019,78.97862232779097,81.82106096595408,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,233.90976,1051.979,1051.9794,493.137,493.1369,56.388888888888886,88.88888888888889,92.90915915915916,72.74742676167854,79.77830562153602,79.06571654790181,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,211.3224902067277,1061.9940092325814,1061.9940219259083,479.38038619940716,479.3803907526167,56.448948948948946,88.77252252252252,92.743993993994,71.56769596199526,79.00237529691212,78.03642121931908,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,146.41696,1005.09674,1005.0968,516.1926,516.19275,57.676426426426424,87.98798798798799,93.00675675675676,65.93824228028504,80.70467141726049,79.8178939034046,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,146.88780600697268,991.2103458112056,991.210337130483,503.16921470725106,503.1692153783006,57.676426426426424,87.98798798798799,92.8415915915916,65.93824228028504,80.70467141726049,77.35550277117973,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,197.22603,687.06805,687.0683,972.2772,972.2771,62.42492492492492,90.33408408408408,93.90015015015015,76.69833729216153,75.81155977830562,80.08709422011084,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,177.4064639905547,706.297358354774,706.2973538261245,984.2864624568884,984.2864515959873,62.1996996996997,90.12012012012012,93.74249249249249,75.49485352335708,78.40855106888361,80.54631828978623,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,168.68855,507.50598,507.50598,1180.0695,1180.0692,60.063813813813816,88.68618618618619,93.34084084084084,68.21060965954078,77.90973871733966,78.4639746634996,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,137.2963335927999,471.8282933747018,471.8283011495319,1078.2069551985617,1078.2069683451393,60.063813813813816,88.95270270270271,93.19069069069069,68.32937450514648,77.13380839271575,77.61678543151227,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,177.0774,595.32587,595.3256,1061.4677,1061.4679,57.240990990990994,88.70870870870871,93.16066066066067,71.68646080760095,80.30087094220112,79.5249406175772,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,169.82772344725765,597.3891822607784,597.3891864054149,1064.1262040472504,1064.1262082275714,57.240990990990994,88.61111111111111,93.246996996997,71.68646080760095,80.66508313539192,80.72050673000791,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,266.6424,810.88043,810.8806,827.1974,827.19714,70.32657657657657,91.61786786786787,95.00375375375376,75.92240696753761,79.3507521773555,82.23277909738718,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,303.07589927853894,819.6408105907544,819.6408057178878,848.7258912314443,848.7258930693773,70.32657657657657,91.50525525525525,94.69969969969969,75.92240696753761,79.75455265241489,81.50435471100555,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,224.13263,375.79498,375.79495,1252.2681,1252.2682,58.40465465465466,88.96396396396396,93.24324324324324,67.79889152810767,79.7624703087886,78.80443388756927,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,188.39974787117555,410.7399261780749,410.73992789139015,1163.958302840509,1163.9582923116727,58.40465465465466,88.95645645645645,93.17192192192192,67.79889152810767,79.87331749802058,79.7624703087886,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,219.326,826.3593,826.35925,903.1718,903.17175,61.966966966966964,90.19894894894895,93.71246246246247,76.19160728424386,77.67220902612827,80.7680126682502,deeplift,11
