initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.19264012814631817,0.2724554771250079,0.5349043947286739,0.22260203015516636,0.573821057515039,0.3169137598257678,0.3711122824986577,92.02644444444445,93.46533333333333,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.17864931349526622,0.30286191211996244,0.5184887743847714,0.17361558483383935,0.5003568122186843,0.31311318591650605,0.3290285276563432,90.99944444444445,93.716,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.20881273289173077,0.30260203424637333,0.48858523286189587,0.18242757349005606,0.4396577051386876,0.3112978635876891,0.31112771407214423,89.6268888888889,93.46733333333333,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.1794819387146114,0.27567215541844636,0.5448459058669423,0.19714138459011782,0.5142363120351978,0.29134921977487904,0.33424230546673156,92.09766666666665,95.59133333333332,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.1672294591115046,0.2960765689596165,0.5366939719288788,0.2550593389080908,0.486870928030453,0.3031084959260299,0.3483462542881912,91.35811111111111,95.528,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.19186995379684216,0.2951504399956824,0.5129796062074754,0.23206038406775423,0.48276782115097955,0.3202900832841495,0.3450394295009611,90.03166666666668,94.72933333333334,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3092454330238645,0.27147279414855363,0.4192817728275819,0.256893229615105,0.6331136915536109,0.4514324734465733,0.44714646487176307,91.61844444444445,92.66333333333334,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.2254798804908745,0.307523053138544,0.46699706637058164,0.2135446346997483,0.570475705823636,0.411704048174026,0.3985747962324701,90.94,93.55266666666667,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.2470456750314698,0.3349858538082631,0.41796847116026714,0.23085122228681865,0.48410892255585647,0.42935999968218613,0.38144004817495375,89.60044444444445,93.30266666666667,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.29889638071678754,0.26408038108841636,0.43702323819479616,0.22974760121493018,0.6254180194059367,0.41263343810567993,0.4225996862421823,91.69122222222222,95.09400000000001,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.2257206103489706,0.3066573557282803,0.4676220339227491,0.2804561195381769,0.5703105730724755,0.42708737078640047,0.4259513544656843,91.29788888888888,95.192,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.23352891040626114,0.32139351959686296,0.44507756999687587,0.22258966943083489,0.5252791090209302,0.43091757274762993,0.39292878373313167,90.13744444444445,94.89266666666667,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3929889845583044,0.24607482800193828,0.3609361874397573,0.21410663355397214,0.6820152977874009,0.4916204335008044,0.46258078828072585,91.10433333333334,92.34333333333333,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.2608990080034681,0.3036231103630262,0.4354778816335057,0.24330730410367082,0.5918144145884158,0.4391294025241992,0.42475037373876195,90.67444444444443,93.012,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.2539172678589614,0.34593467305090647,0.4001480590901322,0.2348800590165971,0.49844653239415715,0.4831872253124697,0.40550460557440804,89.37677777777778,93.204,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.37870480622612207,0.2417229031921411,0.37957229058173686,0.18028354852055806,0.6703909135311227,0.48388837526188216,0.44485427910452097,91.20966666666666,94.72066666666666,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.27078707988466727,0.2990797486102672,0.4301331715050655,0.3028480872053098,0.5564308962392873,0.4670367381689353,0.4421052405378441,90.96266666666666,95.04733333333334,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.2584912119207793,0.3338152658478936,0.4076935222313271,0.23455074437832038,0.5114872364721135,0.4797523215205383,0.40859676745699075,90.02988888888889,94.90466666666666,0.012544,0.909,2.515,13.274
