,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS,final_test_accuracy
0,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.1920496355084695,0.2704295023234239,0.5375208621681066,0.0112382836291728,0.0845925735676121,0.0499982949660715,0.0486097173876188,92.02955555555556,93.44333333333334,0.012544,0.909,2.515,13.274,93.44333333333334
1,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.1872117865237748,0.3093439466352626,0.5034442668409624,0.0073292796330181,0.0702305785518154,0.0484096376724606,0.0419898319524314,91.00655555555556,93.68866666666666,0.012544,0.909,2.515,13.274,93.68866666666666
2,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.2129852009484983,0.3087281530581831,0.4782866459933185,0.0075218882058474,0.0558653195944643,0.0465081598062408,0.0366317892021842,89.63033333333333,93.46733333333331,0.012544,0.909,2.515,13.274,93.46733333333331
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.1806045989262558,0.2756950314398349,0.5437003696339091,0.0065896746143567,0.0722837819060439,0.0429704366916704,0.0406146310706904,92.0951111111111,95.51266666666668,0.012544,0.909,2.515,13.274,95.51266666666668
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.1760329754000758,0.3050978426811644,0.5188691819187597,0.0114108963053108,0.0625171984833971,0.0438251914821173,0.0392510954236084,91.3592222222222,95.524,0.012544,0.909,2.515,13.274,95.524
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.199399021867261,0.3023269547217058,0.4982740234110332,0.0089704993912989,0.0642265042360031,0.0478796559416605,0.0403588865229875,90.03044444444444,94.718,0.012544,0.909,2.515,13.274,94.718
6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.2688947783796873,0.2421165353309637,0.4889886862893489,0.0274202537719958,0.1503169825255258,0.0797927563206606,0.0858433308727274,91.61511111111112,92.62533333333334,0.012544,0.909,2.515,13.274,92.62533333333334
7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.2252079666997054,0.3086405299461099,0.4661515033541846,0.0102166049568877,0.0955679966972173,0.0743687800068196,0.0600511272203082,90.93866666666666,93.822,0.012544,0.909,2.515,13.274,93.822
8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.2503292730447826,0.3375362012200906,0.4121345257351267,0.0142791072117526,0.073218473473355,0.0725116012086323,0.05333639396458,89.59777777777778,93.33,0.012544,0.909,2.515,13.274,93.33
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.268649430316199,0.2498965307653046,0.4814540389184963,0.014712354117393,0.105561639889992,0.0624257999568748,0.0608999313214199,91.68311111111112,95.15666666666668,0.012544,0.909,2.515,13.274,95.15666666666668
10,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.2283602483646248,0.3124066317872278,0.4592331198481474,0.0191716631786203,0.0945156946142419,0.0824354103038081,0.0653742560322235,91.29266666666668,95.22066666666666,0.012544,0.909,2.515,13.274,95.22066666666666
11,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.2402327264585275,0.3261945467733016,0.4335727267681708,0.0119701166338676,0.0820500907820528,0.0788729161980416,0.057631041204654,90.13655555555556,94.89866666666668,0.012544,0.909,2.515,13.274,94.89866666666668
12,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3447239801656171,0.229618459877551,0.4256575599568318,0.0287725837546695,0.156234770367512,0.0886515061598932,0.0912196200940249,91.09611111111111,92.094,0.012544,0.909,2.515,13.274,92.094
13,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.2565417841045174,0.3071214417840842,0.4363367741113984,0.0155757152477142,0.0996651501540644,0.0781927999757843,0.0644778884591876,90.68344444444443,92.96,0.012544,0.909,2.515,13.274,92.96
14,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.2564193679074246,0.3438371698560379,0.3997434622365375,0.0131867110810003,0.0707882253627007,0.0775589683564843,0.0538446349333951,89.37122222222223,93.144,0.012544,0.909,2.515,13.274,93.144
15,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3527061009699179,0.2301414051716342,0.4171524938584478,0.0303671744545491,0.1188778996728714,0.0871165172866826,0.0787871971380344,91.19722222222222,94.74666666666668,0.012544,0.909,2.515,13.274,94.74666666666668
16,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.2681542515995064,0.3037432731860202,0.4281024752144733,0.0237361472080127,0.0843721675519313,0.0886801138236599,0.0655961428612013,90.96355555555556,95.048,0.012544,0.909,2.515,13.274,95.048
17,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.2579910482561044,0.3396602388654489,0.4023487128784466,0.0156175413339278,0.0803093808318798,0.0852000687220815,0.0603756636292963,90.03488888888889,94.92266666666666,0.012544,0.909,2.515,13.274,94.92266666666666
