,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS,final_test_accuracy
0,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.1926401281463181,0.2724554771250079,0.5349043947286739,0.2226020301551663,0.573821057515039,0.3169137598257678,0.3711122824986577,92.02644444444444,93.46533333333332,0.012544,0.909,2.515,13.274,93.46533333333332
1,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.1786493134952662,0.3028619121199624,0.5184887743847714,0.1736155848338393,0.5003568122186843,0.313113185916506,0.3290285276563432,90.99944444444444,93.716,0.012544,0.909,2.515,13.274,93.716
2,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.2088127328917307,0.3026020342463733,0.4885852328618958,0.182427573490056,0.4396577051386876,0.3112978635876891,0.3111277140721442,89.6268888888889,93.46733333333331,0.012544,0.909,2.515,13.274,93.46733333333331
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.1794819387146114,0.2756721554184463,0.5448459058669423,0.1971413845901178,0.5142363120351978,0.291349219774879,0.3342423054667315,92.09766666666664,95.59133333333332,0.012544,0.909,2.515,13.274,95.59133333333332
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.1672294591115046,0.2960765689596165,0.5366939719288788,0.2550593389080908,0.486870928030453,0.3031084959260299,0.3483462542881912,91.35811111111111,95.528,0.012544,0.909,2.515,13.274,95.528
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.1918699537968421,0.2951504399956824,0.5129796062074754,0.2320603840677542,0.4827678211509795,0.3202900832841495,0.3450394295009611,90.03166666666668,94.72933333333334,0.012544,0.909,2.515,13.274,94.72933333333334
6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3092454330238645,0.2714727941485536,0.4192817728275819,0.256893229615105,0.6331136915536109,0.4514324734465733,0.447146464871763,91.61844444444444,92.66333333333334,0.012544,0.909,2.515,13.274,92.66333333333334
7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.2254798804908745,0.307523053138544,0.4669970663705816,0.2135446346997483,0.570475705823636,0.411704048174026,0.3985747962324701,90.94,93.55266666666668,0.012544,0.909,2.515,13.274,93.55266666666668
8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.2470456750314698,0.3349858538082631,0.4179684711602671,0.2308512222868186,0.4841089225558564,0.4293599996821861,0.3814400481749537,89.60044444444445,93.30266666666668,0.012544,0.909,2.515,13.274,93.30266666666668
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.2988963807167875,0.2640803810884163,0.4370232381947961,0.2297476012149301,0.6254180194059367,0.4126334381056799,0.4225996862421823,91.69122222222222,95.094,0.012544,0.909,2.515,13.274,95.094
