,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS,final_test_accuracy
0,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.4163939022333178,0.1757430322935389,0.4078630654731432,0.0120213785910444,0.0402334542030054,0.0292743216421249,0.0271763848120582,83.21933333333332,85.51333333333334,0.012544,0.909,2.515,13.274,85.51333333333334
1,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.4171396938120272,0.2124861018863938,0.3703742043015789,0.0139481853534746,0.0356625330943875,0.0315977743074047,0.0270694975850889,82.95933333333332,84.95933333333333,0.012544,0.909,2.515,13.274,84.95933333333333
2,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.4254285958315016,0.2346856240727192,0.3398857800957791,0.01087673253728,0.0256222243435996,0.0222395035636979,0.0195794868148592,82.26277777777777,84.26133333333334,0.012544,0.909,2.515,13.274,84.26133333333334
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.4000634635859548,0.1819939318051176,0.4179426046089276,0.012392359550159,0.0542903309076282,0.0318614439154705,0.0328480447910859,83.25944444444444,85.304,0.012544,0.909,2.515,13.274,85.304
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.4037144458284386,0.2070148476599655,0.3892707065115958,0.0116155783189938,0.0440824211757185,0.0290962765637913,0.0282647586861679,82.94388888888889,85.28266666666667,0.012544,0.909,2.515,13.274,85.28266666666667
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.4186702341401494,0.2334357288333835,0.3478940370264671,0.0081308342446276,0.0285581472458072,0.0226485280115115,0.0197791698339821,82.40666666666667,84.66066666666667,0.012544,0.909,2.515,13.274,84.66066666666667
6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.4357659844455591,0.2076430698191896,0.3565909457352513,0.0132658855604971,0.0696145725408476,0.0516254366243568,0.0448352982419005,82.66677777777778,85.05533333333332,0.012544,0.909,2.515,13.274,85.05533333333332
7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.455734420254242,0.2194313915905546,0.3248341881552033,0.0141512862897052,0.0502216093187062,0.044924370378287,0.0364324219955661,82.65677777777778,84.78266666666667,0.012544,0.909,2.515,13.274,84.78266666666667
8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.4856685024953885,0.2202737006976832,0.2940577968069283,0.0099825782592755,0.0260826601817079,0.0314727333545201,0.0225126572651678,82.03144444444443,84.28266666666667,0.012544,0.909,2.515,13.274,84.28266666666667
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.4308720255822352,0.2017168886549619,0.3674110857628028,0.0111875745981786,0.0719134505645257,0.0516314013070269,0.0449108088232437,82.759,84.54866666666666,0.012544,0.909,2.515,13.274,84.54866666666666
10,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.4443315736655238,0.2040568174854623,0.3516116088490139,0.0132185838624348,0.0543258735770825,0.0476727228768446,0.0384057267721206,82.68144444444444,84.93933333333332,0.012544,0.909,2.515,13.274,84.93933333333332
11,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.4690532559747998,0.2290562130901968,0.3018905309350033,0.01086608190308,0.0349738595956633,0.0337083384208875,0.0265160933065436,82.19733333333333,84.66133333333333,0.012544,0.909,2.515,13.274,84.66133333333333
12,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.4750351284690513,0.2160663320917179,0.3088985394392308,0.0153124987415304,0.0672215835752923,0.0642892755605139,0.0489411192924455,82.18444444444444,84.56333333333333,0.012544,0.909,2.515,13.274,84.56333333333333
13,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.4886848259803606,0.2247964641350464,0.2865187098845929,0.01090763501943,0.0557932290713571,0.0530476783255296,0.0399161808054389,82.31022222222222,84.58066666666667,0.012544,0.909,2.515,13.274,84.58066666666667
14,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.5108914692003945,0.2265237518420561,0.2625847789575494,0.0117587318839525,0.0328651507383525,0.0359997290965615,0.0268745372396222,81.83955555555555,84.23133333333334,0.012544,0.909,2.515,13.274,84.23133333333334
15,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.4665045912102823,0.233631955146964,0.2998634536427537,0.0117694311209291,0.0735737212109466,0.0645754692599504,0.049972873863942,82.26677777777779,83.92800000000001,0.012544,0.909,2.515,13.274,83.92800000000001
16,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.4543992724222984,0.2167957976067067,0.328804929970995,0.012558495208065,0.0607217883234829,0.0533596792246316,0.0422133209187265,82.40044444444445,84.86733333333333,0.012544,0.909,2.515,13.274,84.86733333333333
