initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,conv1x1,conv1x1_3x3.0,conv1x1_3x3.1,conv1x1_5x5.0,conv1x1_5x5.1,train accuracy epoch0,test accuracy epoch0,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,268.79617,105.78326,105.78325,124.801186,124.80116,82.455,84.27,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,335.5669482455144,130.34825104755237,130.34825102333332,155.53219665739337,155.53218860197535,82.455,84.27,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,197.1001,105.72963,105.72964,188.96466,188.96472,82.04166666666667,83.46,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,258.5850395917692,135.1272882769081,135.1272863102942,231.52021955773375,231.52022670208353,82.04166666666667,83.46,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,173.31677,70.252075,70.25207,155.77647,155.77643,82.34166666666667,85.07,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,234.9626897468662,99.06453791732054,99.0645441302652,214.013130084643,214.01312794277726,82.34166666666667,85.07,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,207.12363,104.31056,104.3106,121.28551,121.2855,81.9,84.41,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,266.2691588028056,135.73175714867145,135.73176075958543,152.2429111454637,152.2429041529867,81.9,84.41,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,168.60593,134.76854,134.76852,110.97042,110.970406,82.28833333333333,84.38,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,225.4624724152867,179.3446163568793,179.3446159548335,143.7708173167488,143.77081387398567,82.28833333333333,84.38,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,278.60153,229.94293,229.94289,34.22184,34.22184,81.95,84.76,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,328.9051046835475,267.1641444200796,267.1641430346053,39.166599019663025,39.16660108718143,81.95,84.76,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,293.15024,78.29354,78.293526,89.98466,89.98464,82.04666666666667,85.06,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,389.5299676778846,128.80514219650405,128.8051423629408,147.52175340322538,147.52175286088084,81.95166666666667,84.59,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,241.2439,118.84281,118.842834,65.11441,65.11443,82.19,83.65,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,298.8940946536224,154.46237232208202,154.46237145452034,83.44468282419565,83.44468264751707,82.19,83.65,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,281.5309,66.92393,66.92394,111.009315,111.0093,81.60166666666667,83.77,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,344.27620632961344,84.71460326917541,84.7146031491282,134.61152631150742,134.61152420838368,81.60166666666667,83.77,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,303.59207,149.52576,149.52576,77.97455,77.97457,82.305,85.31,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,401.93794344360293,213.19118905205906,213.19119195982182,106.47480028296414,106.47479946216951,82.305,85.31,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,216.59967,29.13858,29.138578,217.39111,217.39113,82.33333333333333,85.91,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,304.8461064768957,43.545867800741185,43.54586831657931,302.62345627929915,302.6234533680978,82.38833333333334,85.71,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,254.70695,55.537075,55.537075,156.80157,156.80154,82.0,84.4,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,331.43237165132126,79.94677488607387,79.9467720014086,216.8803581334716,216.88035800970675,82.0,84.4,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,172.12749,116.04572,116.04573,180.27393,180.27393,81.18333333333334,84.13,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,184.88606535956333,125.72845788802773,125.72844802382949,194.6828093942688,194.6828079137724,81.18333333333334,84.13,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,197.91708,100.134766,100.134766,96.550285,96.550255,82.05833333333334,84.56,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,261.85826581022394,144.59350604518653,144.59350646823302,134.86380349427043,134.8638049368615,82.05833333333334,84.56,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,205.33252,68.22073,68.220726,175.41792,175.41791,82.35833333333333,85.4,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,288.2820456803843,94.2148854548287,94.21488537703146,239.5228951069706,239.52289504536023,82.35833333333333,85.4,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,229.10896,80.22651,80.22652,146.70164,146.70166,82.65,85.07,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,315.3475022559786,115.45243368715313,115.45243396753867,214.86501133625123,214.8650077821702,82.65,85.07,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,195.71852,70.154305,70.15431,274.45944,274.45947,82.22,84.49,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,283.54984632595733,100.29929388029959,100.29929480527352,374.63180439013314,374.6317998038798,82.22,84.49,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,191.32848,82.1193,82.119286,184.26637,184.26637,82.26,85.44,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,244.97695571593397,106.51760769907841,106.51760667478965,236.11717785022418,236.117181028568,82.26,85.44,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,272.06085,121.51451,121.51453,183.05235,183.0523,82.565,83.01,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,297.1651034408208,149.01024679813042,149.0102499770981,222.77619813180803,222.77619533570788,82.45833333333333,83.77,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,153.28435,144.7703,144.77032,130.86449,130.8645,82.67833333333333,84.7,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,206.48486128699173,180.79418581771276,180.79418553298848,163.45590484053727,163.4559081097376,82.67833333333333,84.7,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,252.28333,252.47263,252.47256,27.744837,27.744837,82.11833333333334,85.11,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,295.13580475543387,324.92278552820864,324.9227838809201,37.46373394246741,37.46373595421787,82.17666666666666,84.94,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,303.9105,97.89641,97.89643,118.60038,118.60039,82.19,85.11,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,392.46186194157195,133.3601913745214,133.3601913623642,161.4923891976734,161.4923907030503,82.19,85.11,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,211.07458,188.83963,188.83961,85.56717,85.56717,82.48833333333333,83.34,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,315.59374318698656,252.21467042823073,252.21466857125154,114.27049762684642,114.27049698978263,82.48166666666667,83.4,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,314.54242,72.05627,72.05625,173.81151,173.81155,82.39,85.28,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,392.6079245467964,94.71490415108306,94.7149095317717,230.8366592343889,230.83666511025893,82.39,85.28,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,351.90417,168.02316,168.02318,94.327,94.327,82.83,85.82,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,439.08379291427815,223.6706369219865,223.67063119185278,123.11959471169756,123.11959697219329,82.83,85.82,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,199.74956,15.984399,15.984401,235.70651,235.70651,82.67666666666666,85.2,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,284.8114424159856,22.216612088461208,22.216612102980182,327.377629015731,327.3776380228917,82.67666666666666,85.2,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,176.07611,36.660553,36.660557,174.9042,174.90422,82.32666666666667,84.79,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,247.9815237618443,55.720564866908475,55.7205676624373,245.26790041635198,245.2678966673313,82.32666666666667,84.79,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,114.640594,103.51401,103.51402,211.10764,211.10768,82.02333333333333,84.84,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,132.64745668314015,111.782518347237,111.78251714500992,229.31661336676146,229.31661863111188,82.02333333333333,84.84,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,241.09048,95.49899,95.498985,179.11285,179.11284,82.05166666666666,85.48,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,303.37954265816165,119.3732360493318,119.37323918678388,224.0088083874587,224.00880702614683,82.05166666666666,85.48,integrated_gradients,13
