initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,conv1x1,conv1x1_3x3.0,conv1x1_3x3.1,conv1x1_5x5.0,conv1x1_5x5.1,train accuracy epoch0,test accuracy epoch0,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,268.7962,105.78325,105.78324,124.80117,124.80115,82.455,84.27,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,335.5669346666473,130.3482537644707,130.34825562818182,155.53219543884032,155.53219076147846,82.455,84.27,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,197.10007,105.72962,105.72962,188.96465,188.96472,82.04166666666667,83.46,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,258.58503594841005,135.12730056710214,135.12730026798562,231.5202175325825,231.52022560078666,82.04166666666667,83.46,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,173.31679,70.252075,70.25205,155.77644,155.77643,82.34166666666667,85.07,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,234.9627030973296,99.06456348368917,99.06457272215995,214.01313993173696,214.01313422729484,82.34166666666667,85.07,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,207.12363,104.31056,104.31059,121.28552,121.28552,81.9,84.41,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,266.2691575816994,135.73175179001868,135.7317534139418,152.24288455415348,152.2428893512356,81.9,84.41,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,168.60593,134.76855,134.76851,110.97043,110.970406,82.28833333333333,84.38,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,225.46244855732232,179.34460664600303,179.34460993775912,143.77080473012686,143.77080531029733,82.28833333333333,84.38,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,278.60153,229.9429,229.9429,34.221836,34.22184,81.95,84.76,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,328.9050838594729,267.164159280027,267.1641650129319,39.16660824944176,39.16660603267296,81.95,84.76,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,293.1502,78.29354,78.293526,89.98465,89.98465,82.04666666666667,85.06,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,367.5159309048253,109.58913157285996,109.58913428427785,119.72723649828124,119.72724086084683,82.04666666666667,85.06,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,241.24393,118.84283,118.842834,65.11442,65.11445,82.19,83.65,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,298.8941119659192,154.4623743103503,154.46237687966544,83.44466501398959,83.44466617381558,82.19,83.65,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,281.53085,66.923935,66.92394,111.00932,111.0093,81.60166666666667,83.77,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,344.2762011728425,84.71460578570898,84.71460473366655,134.61152956515966,134.6115279631096,81.60166666666667,83.77,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,303.59207,149.52577,149.52574,77.97456,77.97459,82.305,85.31,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,401.9379554743876,213.19123667409212,213.19123567857307,106.47482385245031,106.47482440762724,82.305,85.31,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,216.59969,29.138584,29.138578,217.39113,217.39114,82.33333333333333,85.91,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,295.57776138813045,43.430745815383645,43.43074359454963,298.24576566629827,298.2457651796685,82.33333333333333,85.91,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,254.70694,55.53707,55.537067,156.80156,156.80151,82.0,84.4,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,331.43237271090754,79.94677230459358,79.94676576863341,216.88037849540117,216.88037535558075,82.0,84.4,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,172.12749,116.04571,116.045715,180.27393,180.27393,81.18333333333334,84.13,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,184.8860583047987,125.72845391895596,125.72845354963813,194.68278385906436,194.68278633850326,81.18333333333334,84.13,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,197.91708,100.13476,100.13476,96.550285,96.55027,82.05833333333334,84.56,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,261.8582639787174,144.59351078271277,144.5935137146346,134.86380076039967,134.86379610296152,82.05833333333334,84.56,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,205.3325,68.220726,68.22071,175.41791,175.41791,82.35833333333333,85.4,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,288.28205433869795,94.21488500465841,94.21488181124802,239.52290325706062,239.52289341615736,82.35833333333333,85.4,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,229.10887,80.226494,80.226494,146.70164,146.70163,82.65,85.07,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,315.34749165345266,115.45244442300948,115.45244255853909,214.86502419285222,214.86502244342194,82.65,85.07,integrated_gradients,0
