initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch2.0,branch3.0,branch4.0,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,239.0959716796875,318.4466552734375,222.10654296875,165.5564697265625,72.52627627627628,91.86561561561561,94.41441441441441,71.6547901821061,77.3317498020586,80.72050673000791,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,239.05112062136345,318.41413754538013,222.15948418270506,165.55645129185973,72.52627627627628,91.86561561561561,94.41441441441441,71.6547901821061,77.3317498020586,80.72050673000791,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,279.3044677734375,206.2706787109375,333.8664306640625,166.2292724609375,73.71246246246247,91.509009009009,94.35810810810811,76.6270783847981,79.7070467141726,79.03404592240696,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,279.29926434069375,206.2533850184414,333.85743481848687,166.22926254450462,73.71246246246247,91.509009009009,94.35810810810811,76.6270783847981,79.7070467141726,79.03404592240696,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,251.67001953125,272.6878662109375,397.344873046875,177.770263671875,71.93693693693693,91.22372372372372,94.17417417417417,71.10055423594616,75.35233570863025,77.76722090261282,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,251.63589630250755,272.6923209031448,397.3102723066681,177.77025455689895,71.93693693693693,91.22372372372372,94.17417417417417,71.10055423594616,75.35233570863025,77.76722090261282,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,253.170947265625,102.27747802734375,241.8191162109375,153.5720947265625,74.79354354354355,92.52252252252252,94.6433933933934,76.9833729216152,78.50356294536817,76.64291369754552,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,253.15777320364154,102.23882672022987,241.80194552269148,153.57206894223515,74.79354354354355,92.52252252252252,94.6433933933934,76.9833729216152,78.50356294536817,76.64291369754552,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,324.8515625,201.17174072265624,253.9842041015625,156.439892578125,73.72372372372372,91.6403903903904,94.91366366366367,70.52256532066508,78.92319873317498,77.05463182897863,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,324.81576703856683,201.1591382856517,253.97594222057756,156.43987903890482,73.72372372372372,91.6403903903904,94.91366366366367,70.52256532066508,78.92319873317498,77.05463182897863,integrated_gradients,4
