initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch2.0,branch3.0,branch4.0,train accuracy epoch0,test accuracy epoch0,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,763.651904296875,256.9565673828125,290.7387451171875,268.595654296875,87.05833333333334,91.87,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,759.7945437364399,256.8291073277129,297.2655088998231,268.5956459851378,87.05833333333334,91.87,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,1036.288671875,16.061480712890624,395.422021484375,237.9896240234375,89.99333333333334,92.36,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,1037.901044825924,16.22645066265128,395.8147388985436,237.98962679841398,89.99333333333334,92.36,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,327.5192626953125,357.250830078125,471.244140625,264.552001953125,88.32833333333333,91.56,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,330.82746783530274,353.2808768353166,479.2574225837564,264.5519831854897,88.32833333333333,91.56,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,243.1793701171875,151.4428955078125,700.747265625,277.31806640625,88.44333333333333,91.93,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,246.17323136456153,151.82194062632044,704.1160237345318,277.3180229875086,88.44333333333333,91.93,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,188.4061767578125,144.20640869140624,403.1336669921875,304.897509765625,86.97166666666666,91.47,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,187.6173651650033,143.1840686988492,407.19230667582406,304.8975011214955,86.97166666666666,91.47,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,506.10224609375,610.1560546875,305.8212646484375,263.6557861328125,87.785,92.3,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,508.11863519978596,611.2401833175377,305.13009929008217,263.6557945738519,87.785,92.3,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,137.29677734375,153.17164306640626,240.7546630859375,282.82255859375,87.41333333333333,88.29,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,137.52264060825962,153.0844348371689,240.1986912393183,282.8225734808249,87.41333333333333,88.29,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,339.698583984375,355.8450927734375,387.985302734375,272.9050537109375,88.08,93.01,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,338.81627946762467,358.0600932551144,389.3799476233659,272.90504880676224,88.08,93.01,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,429.4345703125,220.08271484375,236.0394775390625,266.7790771484375,87.485,93.35,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,423.37871419591,221.9976552880462,236.0811390648699,266.7790637908051,87.485,93.35,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,78.32062377929688,378.7009765625,1004.91474609375,279.87109375,87.49,90.87,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,78.54248748623374,376.21346809265924,999.8824492754773,279.87110449297853,87.49,90.87,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,703.3171875,136.2178466796875,78.50833740234376,274.5628662109375,89.16333333333333,92.98,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,703.3986499117706,141.98997613559283,78.57206234078865,274.5628793561751,89.16333333333333,92.98,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,575.696826171875,57.30523681640625,294.8366943359375,271.582421875,89.62666666666667,93.36,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,563.3864480857056,57.07457114178349,289.7063788156711,271.5824330911292,89.62666666666667,93.36,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,542.192822265625,140.91015625,332.4009033203125,260.677197265625,89.34833333333333,92.79,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,545.7548242686627,145.0547645173574,331.42447958278603,260.67716195842524,89.34833333333333,92.79,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,658.7298828125,478.257861328125,376.6060791015625,267.710888671875,87.645,91.77,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,659.7572134729712,473.8766846687078,375.13493779082313,267.7108859889259,87.645,91.77,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,640.889697265625,394.926953125,181.7794677734375,281.059423828125,88.41166666666666,90.31,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,637.1811262462085,391.7320210328061,182.56004912804661,281.0594336996658,88.41166666666666,90.31,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,712.09658203125,128.97569580078124,144.5923583984375,313.3895263671875,88.305,92.93,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,709.2873452467232,127.56359673874553,143.50028098324725,313.3895417529108,88.305,92.93,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,1104.50283203125,10.448521423339844,343.238427734375,275.735400390625,90.26333333333334,91.93,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,1104.3059218535932,10.428233369277441,348.1133465913279,275.7354153675504,90.26333333333334,91.93,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,213.2665283203125,248.887060546875,367.3840576171875,299.304052734375,89.28,92.52,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,206.640619021348,253.23894801718967,365.5361381029918,299.3040464330127,89.28,92.52,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,147.53115234375,186.45018310546874,697.310009765625,305.977587890625,89.30666666666667,92.15,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,146.3577810906285,186.9269747602112,704.6373120695132,305.9776013110536,89.30666666666667,92.15,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,112.59993896484374,87.70821533203124,371.145849609375,350.2751953125,88.35333333333334,93.11,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,112.6551777451937,86.95255849610173,376.0016486315948,350.27524772224774,88.35333333333334,93.11,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,500.315185546875,571.592041015625,131.5489013671875,319.2442626953125,88.55,92.91,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,494.9426434224932,573.5098842931569,133.44073305541002,319.2442765254481,88.55,92.91,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,96.68563232421874,66.573486328125,258.7443359375,315.7974853515625,88.29,92.93,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,96.34992625483198,66.92232786753887,258.79395215388,315.79748243823894,88.29,92.93,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,191.735791015625,425.006787109375,264.8771484375,280.00302734375,89.45833333333333,93.85,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,192.9181138974396,421.405343973773,263.51767792428984,280.0030066929018,89.45833333333333,93.85,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,291.2989501953125,191.15833740234376,149.35166015625,293.5531982421875,88.69833333333334,93.67,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,286.62210925785445,192.87855726471415,150.24560033725248,293.55317093865955,88.69833333333334,93.67,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,37.54766845703125,288.7817138671875,914.32724609375,327.85166015625,88.43166666666667,92.55,deeplift,9
