initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch2.0,branch3.0,branch4.0,train accuracy epoch0,test accuracy epoch0,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,139.69395751953124,178.58948974609376,110.21051025390625,160.30126953125,95.07666666666667,97.48,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,139.6810183267877,178.55087775254896,110.22303567337795,160.3012663431992,95.07666666666667,97.48,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,132.50184326171876,120.82691650390625,250.7431640625,157.1504638671875,94.845,97.55,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,132.52252965943703,120.83985529013049,250.85758751394116,157.15045943375995,94.845,97.55,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,46.809817504882815,246.396875,164.2571533203125,177.87376708984374,94.175,97.32,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,46.79150184362772,246.354364779253,164.2240509945823,177.87375897796534,94.175,97.32,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,72.8463623046875,309.937255859375,216.9544921875,184.49034423828124,94.27833333333334,97.33,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,72.94506640723523,310.4040528581272,217.63594238001969,184.4903540085116,94.27833333333334,97.33,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,170.6288330078125,200.702197265625,176.30833740234374,177.8634033203125,94.46833333333333,97.78,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,170.6342234960993,200.2099978799332,176.4541358576675,177.86340894598777,94.46833333333333,97.78,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,177.1564697265625,230.283056640625,53.68695068359375,166.25379638671876,94.68666666666667,97.18,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,177.33363659603225,229.47597095190832,53.67300382681434,166.25379955987265,94.68666666666667,97.18,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,183.49765625,153.111474609375,185.8569091796875,162.34388427734376,94.50833333333334,97.5,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,184.9314258767512,153.43148114081447,184.78566237665567,162.34388071159907,94.50833333333334,97.5,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,116.31771240234374,245.5254150390625,81.97937622070313,190.80511474609375,94.75,97.6,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,115.77959342120134,245.51256214285905,81.86420772012806,190.80510745771858,94.75,97.6,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,171.71900634765626,108.36964111328125,215.9720458984375,172.11033935546874,94.795,97.15,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,171.8266967852981,107.87657453571276,216.440611594845,172.11034010410933,94.795,97.15,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,145.02203369140625,122.473486328125,189.55975341796875,164.2005615234375,94.73166666666667,97.35,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,144.14724178673268,123.56935873262307,188.70943169870978,164.20054926756168,94.73166666666667,97.35,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,165.75855712890626,127.07984619140625,222.89072265625,147.8432373046875,95.01666666666667,97.67,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,166.11331844825122,127.04584523956976,221.6860070671707,147.8432189418771,95.01666666666667,97.67,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,220.68896484375,179.444384765625,164.11400146484374,154.7091796875,94.72166666666666,97.38,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,219.97761657778042,180.67213897397167,164.80469307757724,154.70918463615087,94.72166666666666,97.38,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,226.7916015625,197.6314697265625,130.1105224609375,155.5329833984375,94.69666666666667,97.32,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,226.8461049287185,199.95438523607072,130.0728389589283,155.5329897788893,94.69666666666667,97.32,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,133.52757568359374,175.49439697265626,216.856494140625,156.5409912109375,94.83333333333333,97.63,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,133.59743834224017,175.33618507139272,216.8573107464578,156.54098988255504,94.83333333333333,97.63,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,155.87303466796874,242.7493408203125,150.23741455078124,157.91002197265624,94.565,97.1,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,158.1102450632071,242.6825372581326,149.6030811810513,157.91001777820716,94.565,97.1,integrated_gradients,14
