initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1,norm_branch2,norm_branch3,norm_branch4,std_norm_branch1,std_norm_branch2,std_norm_branch3,std_norm_branch4,avg_std,train accuracy epoch0,test accuracy epoch0,branch1,branch2,branch3,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.4574003739340559,0.5930350503780757,0.09003066448495133,-0.14046608879708303,1.589380659141023,1.598689686390023,2.6064571185733674,1.0921929057341533,1.7216800924596418,72.15355984183537,76.84106740422045,614,614,614,2120
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.37876135933936955,0.11458465890541387,0.35047903969086214,0.15617494206435442,0.3926228207794638,0.5522708993889064,0.3616810155036143,0.09239284278366365,0.34974189461391203,71.42279918642588,77.41830567506659,614,614,614,2120
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.32876077275996585,0.27115811355610026,0.31492453126646947,0.08515658241746447,0.1830870501938111,0.21095030069767828,0.20869833585406394,0.02475558188094768,0.15687281715662527,69.87364119924831,77.27361196476132,614,614,614,2120
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3127953924017378,0.3076588276776366,0.3167087129532715,0.06283706696735408,0.14781389203637962,0.16024434850837163,0.17678738704231572,0.016078208911110954,0.1252309591245445,67.00538287581165,77.1161135013317,614,614,614,2120
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.3804023366404156,-0.725347682109301,0.9915816494672334,0.35336369600165196,2.202709486761404,3.6517702941418926,1.5296345152737094,0.7567601619377695,2.035218614528694,70.44241505931174,74.06064331079696,614,614,614,2120
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.32478741017622237,0.23688924286158358,0.3410310684717844,0.09729227849040968,0.22203318828975221,0.1671990619266826,0.19316328610820743,0.0433008312746519,0.15642409189982354,71.36046157136292,75.53165334972341,614,614,614,2120
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3169713461963339,0.2735762545458067,0.3431744033336069,0.06627799592425257,0.1670836167434874,0.13158422368054162,0.15159186428457166,0.0265372665563895,0.11919924281624755,71.29675889903582,76.85489653759477,614,614,614,2120
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3209175448234304,0.28960736781512025,0.33180048914550064,0.05767459821594859,0.11638939222184472,0.10710592823095817,0.10884714664688967,0.01641412879675012,0.08718914897411068,70.11116116321081,77.34070887113297,614,614,614,2120
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.513934279850794,0.1673539746633789,0.19099495002692243,0.1277167954589047,0.39146029377954633,0.4456086379589324,0.34412157840277346,0.12522995352959188,0.326605115917711,68.4254064458004,71.68100799016595,614,614,614,2120
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.37776102176619464,0.2580010025480502,0.2919804232030303,0.07225755248272493,0.23215766274159513,0.13150161974498326,0.22635794554875302,0.04570031907176314,0.15892938677677365,70.03562799459436,74.04911903298505,614,614,614,2120
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3306331281651268,0.28081165327509783,0.3341728361867565,0.05438238237301895,0.16930803845326936,0.11531243792982455,0.1561820344944269,0.029755060165231263,0.11763939276068802,70.75392112699129,75.30475312435975,614,614,614,2120
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3115013202050771,0.3006309302644462,0.33932509266823513,0.04854265686224158,0.11766468558479017,0.09542898059279564,0.11730069622913158,0.016940438729405947,0.08683370028403083,70.24420874455683,76.80137266953493,614,614,614,2120
