initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1,norm_branch2,norm_branch3,norm_branch4,std_norm_branch1,std_norm_branch2,std_norm_branch3,std_norm_branch4,avg_std,train accuracy epoch0,test accuracy epoch0,branch1,branch2,branch3,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.20328049227669534,0.14664072272773257,0.42675022177180927,0.22332856322376277,0.14696613333435626,0.07448221377970392,0.09566078249881016,0.05227273756143105,0.09234546679357535,94.275,97.04533333333333,6.272,56.448,157,416
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.22499539792184603,0.19125060704414812,0.4035440171096336,0.18020997792437224,0.12778684290778106,0.0900896659163898,0.08669368493148584,0.0361332382489913,0.085175858001162,93.89044444444444,97.02066666666666,6.272,56.448,157,416
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.23935437254525824,0.22183050920123012,0.37846426950966416,0.1603508487438475,0.11905781661123857,0.0892090533668284,0.07829209441680698,0.029490240922304106,0.07901230132929452,93.215,96.81266666666667,6.272,56.448,157,416
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.2458743376212535,0.2427045922500696,0.36003059908980656,0.15139047103887038,0.11319467763016519,0.08142227387591097,0.06794291276963307,0.02493285616312903,0.07187318010970956,92.07344444444445,96.32533333333335,6.272,56.448,157,416
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.016146233130680247,0.14016354800356096,0.48169919057214255,0.36199102829361623,0.023838179963776438,0.04808840722124616,0.06588952965585428,0.032487272158161176,0.042575847249759505,94.54711111111111,96.98933333333333,6.272,56.448,157,416
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.10909324737520673,0.15243247225981024,0.44756971386099403,0.290904566503989,0.11101513789293264,0.054704993888094834,0.07176984620287105,0.04333034194240587,0.0702050799815761,94.38422222222222,97.2,6.272,56.448,157,416
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.19444316489015534,0.17184015588351537,0.41184348276326943,0.2218731964630599,0.13120209706744856,0.074503640780063,0.08221665927084246,0.042788060090776896,0.08267761430228272,93.98088888888888,97.21866666666666,6.272,56.448,157,416
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.24659212707261174,0.20529259360056887,0.37154135151545253,0.17657392781136688,0.12655472260157202,0.08319086582188467,0.0779010514091166,0.033510384136547236,0.08028925599228014,93.16366666666666,96.93599999999999,6.272,56.448,157,416
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.0005276361859514125,0.12964485518220306,0.4844032206107095,0.38542428802113604,0.001270095495774172,0.0473856985537333,0.07020189614484472,0.035382833363968934,0.03856013088958028,94.43533333333333,96.784,6.272,56.448,157,416
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.047386173820109984,0.15456777111269127,0.45660712963721023,0.34143892542998855,0.0735426568945146,0.05462359227659048,0.0652169017909864,0.03866352896826091,0.058011669982588096,94.38244444444445,97.06,6.272,56.448,157,416
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.14617372407725535,0.16287808162152195,0.4182938071565449,0.27265438714467777,0.12242552175297976,0.05588651439080666,0.07299055450968332,0.045832355778467546,0.07428373660798433,94.04477777777778,97.21666666666667,6.272,56.448,157,416
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.24124172643725678,0.18368017349747448,0.3696519868292303,0.2054261132360385,0.12655469087126972,0.07256603283057352,0.07294960264039202,0.039553330637085125,0.0779059142448301,93.23955555555555,96.902,6.272,56.448,157,416
