initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1,norm_branch2,norm_branch3,norm_branch4,std_norm_branch1,std_norm_branch2,std_norm_branch3,std_norm_branch4,avg_std,train accuracy epoch0,test accuracy epoch0,branch1,branch2,branch3,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,22.301308659317737,52.75307853118776,-48.84295261165052,-25.211434578854988,88.948405689519,222.1615733058037,210.82215334290976,100.27871171401189,155.5527110130611,69.64540362468206,76.00670969063715,24.576,221,614,1137
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,-0.06635085122160307,-0.1315517146431787,1.076053187178764,0.12184937868601795,0.0990822554929369,0.21195981389695392,0.21680802044967015,0.07667566296316969,0.15113143820068264,68.23411642118387,76.18828108994059,24.576,221,614,1137
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,-0.014411966982786635,-0.0023514877396279502,0.9661572379499194,0.050606216772495285,0.04204107321581439,0.0835797599557629,0.09087388523936132,0.03565251103503251,0.06303680736149278,65.72768927656516,75.78928498258553,24.576,221,614,1137
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,-0.006381690914283624,0.031205558575970904,0.9422355582916749,0.03294057404663777,0.028485533314031305,0.051563159053303956,0.06703877704812966,0.02721576023379589,0.043575807412315204,61.59092873946062,74.50548043433722,24.576,221,614,1137
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,-0.1472831024186947,-0.11672698249106155,0.9681592187024531,0.29585086620730305,0.22348888821787438,0.4270526996270451,0.5801435189808016,0.3966652743702388,0.40683759529898994,68.92629145792667,73.39889366933006,24.576,221,614,1137
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,-0.021589290977353737,0.037740980128844186,0.8915721110444655,0.09227619980404406,0.03033460719087437,0.1415217609391773,0.14102060123900384,0.05593232284714941,0.09220232305405124,69.46357799709698,74.80997746363451,24.576,221,614,1137
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,-0.008337411370831592,0.07523777069430748,0.8682781354672334,0.06482150520929071,0.02393870817189795,0.09074318471204322,0.10407622399200425,0.034106991672543434,0.06321627713712222,68.74810598304599,75.94985658676501,24.576,221,614,1137
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,-0.0017965638798343416,0.08937733896812097,0.8665023183412923,0.04591690657042102,0.023772880716871225,0.0630299354356104,0.07703211167903667,0.02677957763394317,0.04765362636636537,66.55163784120744,76.12758656013112,24.576,221,614,1137
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,-0.03706889869618327,0.26203225308945455,0.5583811954464436,0.21665545016028515,0.08144480838128643,0.3693546562531089,0.7871749010743345,0.42297497912290927,0.4152373362079098,67.07618384591234,71.16318377381684,24.576,221,614,1137
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,-0.010216969486483544,0.11893010651105974,0.8157972162477487,0.07548964672767502,0.02404544960497858,0.14807240163779722,0.18634310758019296,0.05458578301090174,0.10326168545846763,68.4514335376369,73.41169842245442,24.576,221,614,1137
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,-0.0027822378154435195,0.10050955374232205,0.849910238186326,0.052362445886795325,0.019736627986327544,0.10263777567199771,0.12336187281998416,0.037893772893495395,0.0709075123429512,68.69941894062455,75.1559618930547,24.576,221,614,1137
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.001665188083978177,0.10918638008535228,0.8381568555951413,0.05099157623552821,0.018000518281275617,0.06570513371708199,0.07592611626081741,0.02689368800343038,0.046631364065651354,67.1413425793212,75.59414054497029,24.576,221,614,1137
