initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1,norm_branch2,norm_branch3,norm_branch4,std_norm_branch1,std_norm_branch2,std_norm_branch3,std_norm_branch4,avg_std,train accuracy epoch0,test accuracy epoch0,branch1,branch2,branch3,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,6.204470953272814,12.878652177279054,-11.036716480048536,-7.046406650503332,26.55785916604834,67.99847897776004,64.66450681567555,29.86194257547619,47.27069688374003,69.64540362468206,76.00670969063715,24.576,221,614,1137
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,-0.06630303202894278,-0.13154171903751696,1.0760371188730133,0.12180763219344641,0.09908590131686427,0.21201155591875223,0.2168982716144599,0.07659694596824797,0.1511481687045811,68.23411642118387,76.18828108994059,24.576,221,614,1137
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,-0.014344400804521235,-0.002375483017132641,0.966120159378619,0.05059972444303495,0.042038657996643504,0.08361877317166906,0.09084048394733532,0.03564903529769942,0.06303673760333683,65.72768927656516,75.78928498258553,24.576,221,614,1137
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,-0.006388860403444077,0.031197931299091087,0.9422512799794159,0.032939649124937055,0.0284972037512933,0.05157879092037781,0.06706351166927181,0.027213779899411518,0.04358832156008861,61.59092873946062,74.50548043433722,24.576,221,614,1137
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,-0.14786924281640815,-0.11636617045237196,0.9685555512955286,0.2956798619732515,0.2255750347741567,0.42650412716247577,0.5819033316880016,0.39604974510699376,0.40750805968290693,68.92629145792667,73.39889366933006,24.576,221,614,1137
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,-0.021539751575041326,0.03768604991640602,0.891583053184277,0.0922706484743583,0.030356702323479534,0.14147505200240665,0.14100759940233848,0.055918713762086895,0.0921895168725779,69.46357799709698,74.80997746363451,24.576,221,614,1137
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,-0.008323976992098856,0.07522791544743665,0.8682741920270965,0.06482186951756565,0.02394051101908162,0.09073418967313962,0.10408598825939136,0.03411361873428379,0.0632185769214741,68.74810598304599,75.94985658676501,24.576,221,614,1137
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,-0.001800368203319493,0.08939850054284638,0.8664856051135589,0.04591626254691423,0.023730870557664183,0.06303104705578493,0.07701957176888304,0.026779345034258228,0.04764020860414759,66.55163784120744,76.12758656013112,24.576,221,614,1137
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,-0.037036902370700744,0.26197849938742507,0.5586720548172008,0.21638634816607485,0.08172957941730637,0.3694913028324381,0.7867550621617106,0.4217944212367002,0.4149425914120388,67.07618384591234,71.16318377381684,24.576,221,614,1137
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,-0.01023262761175181,0.11886648933695415,0.8158913631048742,0.07547477516992347,0.02408803560789289,0.14798043059952992,0.1862391452344821,0.05458056129776324,0.10322204318491704,68.4514335376369,73.41169842245442,24.576,221,614,1137
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,-0.00282004828239889,0.1005459952751918,0.8499003263969117,0.05237372661029534,0.0197602494890571,0.10266511063395317,0.12335114532299256,0.03790955800069978,0.07092151586167565,68.69941894062455,75.1559618930547,24.576,221,614,1137
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.001644857530239017,0.10918296817895863,0.8381829170982493,0.05098925719255302,0.017998279646783903,0.06572908588974119,0.07594903752496468,0.026896400876679515,0.046643200984542325,67.1413425793212,75.59414054497029,24.576,221,614,1137
