initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch2.0,branch3.0,branch4.0,train accuracy epoch0,test accuracy epoch0,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,361.699755859375,66.17852783203125,89.49347534179688,175.755419921875,83.38666666666667,83.65,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,362.1310180214445,66.26476265498434,89.37827698256538,175.75541759989207,83.38666666666667,83.65,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,498.407421875,57.78907470703125,90.75914916992188,150.9088134765625,84.265,86.16,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,498.72761443158544,57.72827441759633,90.77435576552784,150.90880861685525,84.265,86.16,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,109.41234130859377,106.2107666015625,49.89354248046875,170.69775390625,84.345,87.7,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,108.09923877418676,106.19431256647351,49.936153849102624,170.69776014509938,84.345,87.7,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,71.88563232421875,106.8893310546875,89.58206787109376,150.2370849609375,84.58166666666666,86.05,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,71.92025481634387,107.01591175673256,89.46857522298323,150.2370823978923,84.58166666666666,86.05,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,124.9497314453125,45.371978759765625,113.6213134765625,177.9019775390625,84.605,87.68,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,124.6991277482537,45.32893197079503,113.63945719234896,177.90196607780612,84.605,87.68,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,269.0141845703125,46.810723876953126,84.47238159179688,172.6174560546875,84.81666666666666,87.66,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,267.7667223600379,46.82368343109008,84.52439275803904,172.61746957797908,84.81666666666666,87.66,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,148.155126953125,61.62459106445313,46.3456298828125,155.08765869140626,84.72833333333334,85.56,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,148.05995225919384,61.43267526433666,46.39991690473892,155.08764838864607,84.72833333333334,85.56,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,121.72161865234376,86.65112915039063,91.5329833984375,188.3037231445313,84.12166666666667,85.55,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,121.8522459140419,86.52798064230191,91.46119383921314,188.3037409720324,84.12166666666667,85.55,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,161.99013671875,47.501956176757815,136.234716796875,181.0649536132813,83.35333333333334,85.96,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,161.27796776762617,47.44002125671265,136.19619504851048,181.0649615727544,83.35333333333334,85.96,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,59.61390991210938,119.63013916015623,118.147265625,190.9611572265625,83.68333333333334,86.93,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,59.44296883569425,119.884517380727,118.13115364616468,190.9611316573789,83.68333333333334,86.93,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,290.072900390625,106.92921142578123,39.55807800292969,185.174462890625,84.93666666666667,87.98,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,289.9268887555085,106.67441985802093,39.58857619251322,185.174466501143,84.93666666666667,87.98,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,178.03272705078126,62.92139892578125,75.6564697265625,190.4257934570313,84.89166666666667,86.94,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,177.3982453685116,62.4653196245118,75.65943034313636,190.42580392953957,84.89166666666667,86.94,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,213.656201171875,102.7470458984375,105.0300537109375,180.41968994140623,83.60333333333334,86.03,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,215.2233345142097,102.67099438790474,105.03590097902732,180.41969357135093,83.60333333333334,86.03,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,274.7131591796875,96.4713623046875,89.3359619140625,164.9819580078125,84.22,86.92,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,275.7672014178635,96.47409001394448,89.32694625662647,164.98198392436427,84.22,86.92,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,259.2999267578125,91.55957641601564,67.40485229492188,175.9589599609375,84.015,86.83,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,259.434059011068,91.62395151504748,67.42794621171159,175.9589474580948,84.015,86.83,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,326.4193359375,49.811465454101565,68.29119262695312,195.68173828125,83.88333333333334,86.23,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,327.8104301446762,49.84333078530603,68.27141137223208,195.68172558249955,83.88333333333334,86.23,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,486.084521484375,48.86951904296875,83.71673583984375,188.3111328125,84.46333333333334,86.25,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,486.1275358083416,48.94198924520954,83.65557052726773,188.3111204218524,84.46333333333334,86.25,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,73.1832275390625,97.10949096679688,42.0355712890625,213.947119140625,84.74,87.29,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,74.22755132739245,97.10883703785476,42.05319915847036,213.94710040871476,84.74,87.29,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,54.1221435546875,63.3158203125,75.48641967773438,178.4996826171875,84.97833333333334,86.83,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,52.96920501433376,63.326634896141385,75.48412052045857,178.49968196376645,84.97833333333334,86.83,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,102.6713623046875,28.88682861328125,109.4596435546875,199.4979370117188,84.985,87.93,deeplift,4
