initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1,norm_branch2,norm_branch3,norm_branch4,std_norm_branch1,std_norm_branch2,std_norm_branch3,std_norm_branch4,avg_std,train accuracy epoch0,test accuracy epoch0,branch1,branch2,branch3,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.46308212040509916,0.10104375048332791,0.12329664974361802,0.31257747936795494,0.1804693813035881,0.06535895882449472,0.0615612972717024,0.08644969965078293,0.09845983426264203,84.74944444444445,86.50866666666667,6.272,56.448,157,416
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.4126985212674367,0.14941832930907703,0.16575006818392352,0.27213308123956276,0.1588735291921283,0.08081355080034991,0.0682002058648335,0.056766867186249105,0.09116353826089021,84.52344444444445,86.03266666666667,6.272,56.448,157,416
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3628703353554092,0.18680875602120717,0.21297085189005122,0.23735005673333245,0.12964115289026754,0.07786617884277015,0.06731612911155534,0.04185637125970861,0.0791699580260754,84.15633333333334,85.99466666666667,6.272,56.448,157,416
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3255814466944219,0.2188398378246293,0.24322325896234356,0.2123554565186052,0.1069292619675605,0.0692696212819508,0.059290766305815014,0.032070582445276455,0.06689005800015069,83.64577777777778,85.95933333333332,6.272,56.448,157,416
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.27278875647639556,0.09096866722333176,0.10870388641316774,0.527538689887105,0.15771653872007232,0.04236239823686066,0.06582252741751687,0.11422380413728027,0.09503131712793253,84.83755555555555,86.50466666666667,6.272,56.448,157,416
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3451662085162352,0.1035645289031446,0.13851524326361303,0.4127540193170072,0.16736501787952915,0.0482374893613419,0.06638055811254158,0.10196879986935117,0.09598796630569095,84.8051111111111,86.50466666666667,6.272,56.448,157,416
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.37405331858114976,0.13135315027959626,0.15078592099244031,0.34380761014681366,0.15445912526610636,0.05090702882235114,0.06560551647786966,0.07353819851576818,0.08612746727052384,84.56211111111111,86.59266666666667,6.272,56.448,157,416
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.361374103273319,0.16872865000186543,0.18610368712548092,0.2837935595993347,0.13112667950506823,0.06802194953373451,0.060814628405545794,0.050166131362528225,0.0775323472017192,84.22666666666667,86.484,6.272,56.448,157,416
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.14059630764669448,0.10101548304286428,0.11800208296361904,0.6403861263468222,0.0880987649240378,0.04622746682855419,0.05263348555283677,0.05758459219439849,0.06113607737495681,84.57088888888889,86.16799999999999,6.272,56.448,157,416
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.27067105306699557,0.10206385943193785,0.1274483661821643,0.4998167213189023,0.14516064649474833,0.04175253980085441,0.05582014948756771,0.10205256780359419,0.08619647589669116,84.72266666666665,86.57866666666668,6.272,56.448,157,416
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.33295403053980643,0.12176584568736436,0.14039893846324591,0.4048811853095832,0.15580818064728136,0.05373182031260602,0.06457537803573274,0.08608039864150685,0.09004894440928174,84.58822222222221,86.646,6.272,56.448,157,416
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3596387124971973,0.15223829557099158,0.16063880426025107,0.32748418767156007,0.13618250919679303,0.060540900841340256,0.058013650600363474,0.06166361669466169,0.07910016933328962,84.23688888888888,86.50666666666666,6.272,56.448,157,416
